dtype_name,n,attempts,successes,failures,failure_rate,rR2_over_u_q50,rR2_over_u_q90,rR2_over_u_q95,rR2_over_u_q99,rRinf_over_u_q50,rRinf_over_u_q90,rRinf_over_u_q95,rRinf_over_u_q99
float32,8,128000,124738,3262,0.025484375,0.636411113712096,1.3545684293028768,1.8861204275256622,4.188315553664119,0.4766193849731132,1.0014238663319657,1.2048401481348558,2.0935786098708453
float32,11,128000,125482,2518,0.019671875,0.7476509782041464,1.8049128485533443,2.6099005056828934,5.8878254243013615,0.5562198378659238,1.0991097492895272,1.321550364019416,2.5085329252385877
float32,16,128000,126112,1888,0.01475,0.8824925019472907,2.5973717620501784,3.9552144774454026,8.956738567817679,0.6587281819017854,1.2134675705725326,1.4618563902412463,2.868041428109368
float32,23,128000,127727,273,0.0021328125,1.0829520157072356,3.702021273858313,6.293159756165728,14.424652891554272,0.7895345921126099,1.4087437111944623,1.7421088868193033,4.482682772403687
float32,32,128000,127821,179,0.0013984375,1.2461541442479325,5.2153446627961415,12.54943133953975,67.11431835838981,0.8899574162837502,1.53684769148382,2.0694074057637772,22.862316332815034
float32,45,128000,127793,207,0.0016171875,1.4967972728642591,7.368640525476666,21.56208718782681,523.7500843327632,1.0239939268684581,1.6826963075301962,2.183780834946393,169.17128053646906
float32,64,128000,127905,95,0.0007421875,1.9050847801765654,10.319029303103084,32.282721283210954,3055.4040254284446,1.1588519469361458,1.8906170034825982,2.4512574223692476,882.183604342818
float32,91,128000,127867,133,0.0010390625,2.2178970257502497,14.291287274231186,42.3230780876915,12129.836377008516,1.328122849935759,2.051824339307584,2.5936606699971994,3125.799849521774
float32,128,128000,127943,57,0.0004453125,2.406475586388076,17.906273824425263,48.34664220254386,31383.027443331644,1.4722103420008197,2.2481808772725254,3.1843108377503215,7301.240036860204
float32,181,128000,127970,30,0.000234375,2.7040379278901123,24.43695763020835,77.17004419964681,69183.0629552668,1.6551823309315323,2.616255077534243,3.8341501550627597,13762.696426042417
float32,256,128000,127971,29,0.0002265625,2.909745315550488,30.26559512217564,83.72282995555,118066.17465545383,1.7756443826827473,3.07630270833742,4.6100917072542344,20640.52106130174
float32,362,128000,127965,35,0.0002734375,3.207756444570469,52.50017056934922,135.56842003040708,184823.90446702257,1.9970826031581066,3.844073468050439,6.06074767846829,26787.696600031875
float32,512,128000,127983,17,0.0001328125,3.5295203980183647,73.91845581102265,205.5995375588149,263186.1219122225,2.1966986811035873,4.875846889880264,5.8030582278025555,30715.726197869382
float64,8,128000,128000,0,0.0,0.8032190709145732,1.697368183076817,2.4110532333166534,5.428486724639774,0.5435777177925023,1.2482356579290914,1.4754846726752853,2.7762515670384724
float64,11,128000,128000,0,0.0,0.9836250804362847,2.3661918055778726,3.4336475702190454,8.230105321628136,0.644296972552284,1.426948515286764,1.7806168036647627,3.373532980217168
float64,16,128000,128000,0,0.0,1.2399562991260644,3.463589358592183,5.443437086985513,13.764720856238668,0.7885644755798857,1.7262185139354305,2.226334360533701,3.9942531300351156
float64,23,128000,128000,0,0.0,1.6790753312662514,5.070652132454849,8.266539903989385,20.54219316547646,0.9315011140045406,2.114153626075338,2.7169176979919705,5.377387081379021
float64,32,128000,128000,0,0.0,1.8160808488417923,7.447919801706769,14.139278942818766,73.77781619149938,1.0525428265183205,2.1145186898626407,2.9132833076656666,21.974460736887586
float64,45,128000,128000,0,0.0,2.6498133519699403,10.464559142396293,21.983422838779873,1890.5125913760307,1.1924508675097694,3.2117930396658236,4.891276848273363,593.6306880780198
float64,64,128000,128000,0,0.0,3.31079652638831,14.108739023410404,31.620696405840395,365164.2415722607,1.3341989442089635,3.945300514881241,6.016350366269402,114191.05171896821
float64,91,128000,128000,0,0.0,4.364234385543906,21.164127997542426,53.26185338897604,77238594.3381666,1.5710952941910685,4.584161082392565,6.701906121514249,23006367.616024688
float64,128,128000,128000,0,0.0,5.624269761210883,31.176565321824235,91.84502948728849,3685115242.631956,1.7995294837711069,5.564831704120802,8.363105537574679,957612539.9393039
float64,181,128000,128000,0,0.0,7.352725430666588,47.792986927025524,144.4754368575091,64640236705.732346,2.0362761951076744,6.772239884725364,10.162468738735509,15150940542.858692
float64,256,128000,128000,0,0.0,10.04668064596254,73.63822097503389,229.68464241653723,538646222954.4571,2.3576990980504986,8.23297901505447,12.115853798628898,111222868173.95937
float64,362,128000,128000,0,0.0,14.17970309758703,115.17263943925654,376.07991336637787,2492367214061.709,2.8062193732684095,9.95857932914493,15.046910188990259,454664640568.9654
float64,512,128000,128000,0,0.0,17.68660922895312,185.51662815425425,361.5817476969772,7544996063466.7705,3.5107868777615163,9.4673489072733,13.569260268808934,1187877185067.6865
