sample,block_index,cell_id,family,n,dtype_name,method,common_n,finite_r2_n,finite_rinf_n,r2u_q50,r2u_q95,rinfu_q50,rinfu_q95
S5,1,random_conditioned:f13d30e42b69e288,random_conditioned,8,float32,R2_C2,2000,2000,2000,0.9096927616861987,1.527769055302184,0.38863932623371594,0.7787962463535699
S6,1,random_conditioned:f13d30e42b69e288,random_conditioned,8,float32,R2_C2,2000,2000,2000,0.9096927616861987,1.527769055302184,0.38863932623371594,0.7787962463535699
S6,1,random_conditioned:f13d30e42b69e288,random_conditioned,8,float32,LAPACK_xGETRF_xGETRI,2000,2000,2000,1.0893523523045188,1.8496417829557483,0.4604923507854136,0.8929920274634225
S5,1,random_conditioned:f13d30e42b69e288,random_conditioned,8,float64,R0_C0,2000,2000,2000,3.2456524894399985,32.16843931049921,1.5395868620845143,16.059059349874513
S6,1,random_conditioned:f13d30e42b69e288,random_conditioned,8,float64,R0_C0,2000,2000,2000,3.2456524894399985,32.16843931049921,1.5395868620845143,16.059059349874513
S5,1,random_conditioned:f13d30e42b69e288,random_conditioned,8,float64,R0_C1,2000,2000,2000,0.9859352188153229,1.5951159952718255,0.39739588601602105,0.7623292136089951
S6,1,random_conditioned:f13d30e42b69e288,random_conditioned,8,float64,R0_C1,2000,2000,2000,0.9859352188153229,1.5951159952718255,0.39739588601602105,0.7623292136089951
S5,1,random_conditioned:f13d30e42b69e288,random_conditioned,8,float64,R0_C2,2000,2000,2000,0.9899328743675446,1.6569078630174383,0.39423715535810877,0.8068159337743857
S6,1,random_conditioned:f13d30e42b69e288,random_conditioned,8,float64,R0_C2,2000,2000,2000,0.9899328743675446,1.6569078630174383,0.39423715535810877,0.8068159337743857
S5,1,random_conditioned:f13d30e42b69e288,random_conditioned,8,float64,R1_C1,2000,2000,2000,0.9711532298761594,1.5770532059152682,0.3954911715742723,0.7368556566524667
S6,1,random_conditioned:f13d30e42b69e288,random_conditioned,8,float64,R1_C1,2000,2000,2000,0.9711532298761594,1.5770532059152682,0.3954911715742723,0.7368556566524667
S5,1,random_conditioned:f13d30e42b69e288,random_conditioned,8,float64,R2_C2,2000,2000,2000,0.9781278297002582,1.6340818902343406,0.40012281463654015,0.7873573471335026
S6,1,random_conditioned:f13d30e42b69e288,random_conditioned,8,float64,R2_C2,2000,2000,2000,0.9781278297002582,1.6340818902343406,0.40012281463654015,0.7873573471335026
S6,1,random_conditioned:f13d30e42b69e288,random_conditioned,8,float64,LAPACK_xGETRF_xGETRI,2000,2000,2000,1.1297372713228473,1.8706037167791918,0.4752838364252673,0.903947092700079
S5,2,random_conditioned:5e2483f030292e83,random_conditioned,8,float32,R0_C0,2000,2000,2000,2.9659397752667718,44.41826923555641,1.3709310195307385,21.562928953860258
S6,2,random_conditioned:5e2483f030292e83,random_conditioned,8,float32,R0_C0,2000,2000,2000,2.9659397752667718,44.41826923555641,1.3709310195307385,21.562928953860258
