cell_id,family,method,dtype_name,s,ci_low,ci_high,bootstrap_bias,quadratic_curvature,curvature_sign,delta_aic_quadratic_minus_power,quadratic_preferred
random_conditioned:20591473a1bf5735,random_conditioned,R0_C0,float32,0.9447589739210766,0.929378011589252,0.9603196525603975,-7.333878728199572e-06,0.06649450065284389,convex,-26.737662616233585,True
random_conditioned:20591473a1bf5735,random_conditioned,R0_C0,float64,0.43148536420588857,0.4063174417290748,0.46021299063076576,0.0016061543730990224,-0.10686030348494178,concave,-2.4309307639228876,True
random_conditioned:20591473a1bf5735,random_conditioned,R0_C1,float32,0.14760683082474158,0.14062853156059965,0.1556824386977379,0.0003416012194117912,-0.029549595415052185,concave,-19.18146128140927,True
random_conditioned:20591473a1bf5735,random_conditioned,R0_C1,float64,0.28868221804660615,0.28411764940638157,0.29289298966999167,-7.724583109547378e-05,0.02060918290405464,convex,-18.37673738389273,True
random_conditioned:20591473a1bf5735,random_conditioned,R0_C2,float32,0.15745548129499576,0.1504262669564326,0.1635582514457217,-7.81003113041745e-05,-0.02376140170585582,concave,-21.056170325713566,True
random_conditioned:20591473a1bf5735,random_conditioned,R0_C2,float64,0.34091974050818524,0.3360781931466247,0.3459715231754138,0.00020527023502608932,0.017528215646429784,convex,-25.062134432665516,True
random_conditioned:20591473a1bf5735,random_conditioned,R1_C1,float32,0.14722570620398923,0.14130424706918196,0.15392526452047225,0.00013969922955900382,-0.021244362781421344,concave,-19.42055841753357,True
random_conditioned:20591473a1bf5735,random_conditioned,R1_C1,float64,0.20930000981309657,0.20505292683310816,0.2125814024681491,-0.0002478741324205558,0.017220284112075747,convex,-39.51736966879652,True
random_conditioned:20591473a1bf5735,random_conditioned,R2_C2,float32,0.1756990698652219,0.1689715291967697,0.18278395193996547,4.296421784122373e-05,-0.014407967899113451,concave,-7.709540937056516,True
random_conditioned:20591473a1bf5735,random_conditioned,R2_C2,float64,0.2593283613697487,0.25542022618119664,0.26308289511512606,0.00011052195227284622,0.02396987761107671,convex,-42.37955376265842,True
random_conditioned:24db10624cd06023,random_conditioned,R0_C0,float32,0.9955291784222299,0.9632320235850024,1.029311205738388,-0.0013287849465238866,-0.29275252018932685,concave,-47.464497725870544,True
random_conditioned:24db10624cd06023,random_conditioned,R0_C0,float64,1.5072122152892855,1.4641209162646582,1.5533241694543443,-0.0001673948790124058,-0.028164461665077578,concave,0.41506640224071845,False
random_conditioned:24db10624cd06023,random_conditioned,R0_C1,float32,0.30392268286637286,0.29655772401397235,0.30819136561705174,-0.0005900806433569161,0.013415446776663386,convex,-16.991484137234067,True
random_conditioned:24db10624cd06023,random_conditioned,R0_C1,float64,0.2864112963031635,0.2822254412549612,0.29081375923512875,-2.0169896917165975e-05,0.022289024264636505,convex,-33.35691164826616,True
random_conditioned:24db10624cd06023,random_conditioned,R0_C2,float32,0.36034885312272785,0.35633186437927256,0.36425498038687953,6.660035771777206e-05,0.00843250483227278,convex,-10.32019622318441,True
random_conditioned:24db10624cd06023,random_conditioned,R0_C2,float64,0.3418776416004423,0.3357902625553007,0.34507338354337636,-0.0010494263210770183,0.01871710795492136,convex,-22.999065047753376,True
random_conditioned:24db10624cd06023,random_conditioned,R1_C1,float32,0.21973812565447717,0.2165635017545397,0.22352588849060057,0.00023467661408063667,0.01576822064991033,convex,-27.536418508144436,True
random_conditioned:24db10624cd06023,random_conditioned,R1_C1,float64,0.20877378706264518,0.20402442324461992,0.21262038956352744,-0.0001035435187656808,0.018746261473352364,convex,-37.93063858795067,True
random_conditioned:24db10624cd06023,random_conditioned,R2_C2,float32,0.27817390013462984,0.27450941733460027,0.28316938084167625,0.0004628874221093149,0.01564726555247842,convex,-39.52165548618629,True
random_conditioned:24db10624cd06023,random_conditioned,R2_C2,float64,0.25416033165753266,0.2497391652734223,0.2585155444108713,-0.0002579803723415375,0.026742080670558954,convex,-32.047204530682706,True
random_conditioned:33289cf8a89ff087,random_conditioned,R0_C0,float32,1.3503762134423578,1.3141957710309506,1.4005835778090652,0.005098892988258497,-0.04794050554412516,concave,-4.042019390402189,True
random_conditioned:33289cf8a89ff087,random_conditioned,R0_C0,float64,1.4257670406896565,1.37420483396913,1.4632477133643933,-0.0054873067075094095,-0.03442225017146494,concave,-1.704405816417946,True
random_conditioned:33289cf8a89ff087,random_conditioned,R0_C1,float32,0.4274536130552273,0.4175868838928533,0.4345907132945991,-0.0012757399176636097,0.008805639462280773,convex,-2.857973124427872,True
random_conditioned:33289cf8a89ff087,random_conditioned,R0_C1,float64,0.4368554309182945,0.42799908421918026,0.4452991129391029,4.3432929419939814e-05,0.010714653646390479,convex,-10.9413299372343,True
