dtype_name,method,N,min,q05,median,q95,q99,max,fraction_within_1pct,fraction_within_5pct,fraction_within_10pct
float32,R0_C0,2486,0.7197950742794816,0.9854657128968077,1.0000906723359648,1.1087586401565872,1.2111373043505798,1.5181407247937075,0.5571198712791633,0.7715205148833467,0.9259855189058729
float32,R0_C1,2496,0.6281798981496648,0.9584694480094706,1.0000386601292282,1.1089553547827204,1.2170275771351933,1.5181407247937075,0.5152243589743589,0.7544070512820513,0.9186698717948718
float32,R0_C2,2493,0.6281798981496648,0.9584551099349379,1.000061876770062,1.110388900390611,1.2160387648547737,1.5181407247937075,0.5106297633373446,0.7513036502206177,0.9153630164460489
float32,R1_C1,2490,0.8239220043810634,0.9632463613916808,1.0000325033619009,1.1034703177605392,1.182846701377903,1.532478653702814,0.51285140562249,0.7493975903614458,0.9333333333333333
float32,R2_C2,2484,0.6707244807707082,0.9611760263175891,1.0000478420818606,1.1048410032749385,1.1869510837692472,1.514216393206403,0.5076489533011272,0.7661030595813204,0.928743961352657
float32,LAPACK_xGETRF_xGETRI,2496,0.7535367729051969,0.9687186393920776,1.0000353519822682,1.1116399019664995,1.2172014992963078,1.5127233758502834,0.5228365384615384,0.7696314102564102,0.9194711538461539
float64,R0_C0,2496,0.6655460960697818,0.9699558074784687,1.0000851873191032,1.1120057914410464,1.2471936676108974,1.5133099011567268,0.5332532051282052,0.7524038461538461,0.9142628205128205
float64,R0_C1,2496,0.6655460960697818,0.9600838674006333,1.0000678609403308,1.1117474398246234,1.2434906318090835,1.5133099011567268,0.5104166666666666,0.750801282051282,0.9146634615384616
float64,R0_C2,2496,0.6655460960697818,0.963792040073249,1.0000740427132915,1.111510175017127,1.2471938835168113,1.5133099011567268,0.514823717948718,0.7520032051282052,0.9162660256410257
float64,R1_C1,2496,0.7644074514331182,0.9584305921742569,1.0000296211112962,1.1039325709248948,1.18093447181921,1.5176935919597239,0.5064102564102564,0.7520032051282052,0.9294871794871795
float64,R2_C2,2496,0.7582009510357463,0.9643630926509815,1.0000302147116003,1.1090656774332217,1.1918300039110967,1.5126713473531952,0.5096153846153846,0.7544070512820513,0.9198717948717948
float64,LAPACK_xGETRF_xGETRI,2496,0.7734421862814523,0.9751019955845079,1.0000375529869512,1.1112222659938127,1.2430137882770933,1.4714150219483813,0.5308493589743589,0.7608173076923077,0.9222756410256411
