method,dtype_name,metric,low_progress_tasks,high_progress_tasks,low_mean,high_mean,high_minus_low,standardized_difference,progress_q25,progress_q75
R0_C0,float32,failure_rate,250,250,4.058841510569078e-05,4.370367232722039e-05,3.1152572215296118e-06,0.016972940194665036,13327497.0,16067447.0
R0_C0,float32,mean_log10_rRu,250,250,-0.5864248612854273,-0.5857913248976654,0.0006335363877618683,0.025504054205561438,13327497.0,16067447.0
R0_C0,float32,mean_log10_gamma_over_n,250,250,6.45644181256312,6.455239635647196,-0.001202176915923836,-0.07447621969202972,13327497.0,16067447.0
R0_C0,float32,mean_log10_max_tableau,250,250,7.798691473711701,7.790009835176473,-0.00868163853522752,-0.523263332427805,13327497.0,16067447.0
R0_C0,float32,mean_elapsed_seconds,250,250,0.2525916251652331,0.23866089971599092,-0.013930725449242176,-0.47121114018365884,13327497.0,16067447.0
R0_C1,float32,failure_rate,250,250,0.00040587199922422813,0.00022784218921449728,-0.00017802981000973085,-0.35811735779133463,13327497.0,16067447.0
R0_C1,float32,mean_log10_rRu,250,250,-2.3702812910704014,-2.3598659900661327,0.010415301004268684,0.26194747312067534,13327497.0,16067447.0
R0_C1,float32,mean_log10_gamma_over_n,250,250,5.301935542389504,5.298326398896623,-0.0036091434928815502,-0.30641127554843467,13327497.0,16067447.0
R0_C1,float32,mean_log10_max_tableau,250,250,6.450468195551324,6.449270622374749,-0.0011975731765749842,-0.09432253621631022,13327497.0,16067447.0
R0_C1,float32,mean_elapsed_seconds,250,250,0.2585541492762171,0.24500153216014817,-0.013552617116068949,-0.4482902903951266,13327497.0,16067447.0
R0_C2,float32,failure_rate,250,250,0.00044023479791650464,0.00027466355826363787,-0.00016557123965286677,-0.3104679596116852,13327497.0,16067447.0
R0_C2,float32,mean_log10_rRu,250,250,-2.3597933370322517,-2.3493231597975077,0.010470177234743971,0.2634267075254117,13327497.0,16067447.0
R0_C2,float32,mean_log10_gamma_over_n,250,250,5.289480558548263,5.286290528572164,-0.0031900299760989625,-0.27306668359826064,13327497.0,16067447.0
R0_C2,float32,mean_log10_max_tableau,250,250,6.461674284273333,6.458882696168969,-0.0027915881043645285,-0.1993661121604187,13327497.0,16067447.0
R0_C2,float32,mean_elapsed_seconds,250,250,0.2701599793732937,0.2569709839981655,-0.013188995375128243,-0.4199533943445644,13327497.0,16067447.0
R1_C1,float32,failure_rate,250,250,0.0004308744196957548,0.0002871610997343841,-0.00014371331996137072,-0.27456852719628116,13327497.0,16067447.0
R1_C1,float32,mean_log10_rRu,250,250,-3.049558434537257,-3.0518812755483484,-0.00232284101109137,-0.1329387275797085,13327497.0,16067447.0
R1_C1,float32,mean_log10_gamma_over_n,250,250,5.042291794102855,5.04024786377889,-0.002043930323964993,-0.15390415615020314,13327497.0,16067447.0
R1_C1,float32,mean_log10_max_tableau,250,250,6.554870915114145,6.5530214644270695,-0.0018494506870752048,-0.1207855237410141,13327497.0,16067447.0
R1_C1,float32,mean_elapsed_seconds,250,250,0.29120764671959526,0.278550349267455,-0.012657297452140281,-0.3786425638210909,13327497.0,16067447.0
R2_C2,float32,failure_rate,250,250,0.0005120025284032397,0.00028403123215092177,-0.00022797129625231791,-0.4009910159260248,13327497.0,16067447.0
R2_C2,float32,mean_log10_rRu,250,250,-2.90638301618207,-2.9079407745963217,-0.0015577584142518752,-0.05485586914827743,13327497.0,16067447.0
R2_C2,float32,mean_log10_gamma_over_n,250,250,5.29139157861369,5.288964279287953,-0.0024272993257374864,-0.16871247773356052,13327497.0,16067447.0
R2_C2,float32,mean_log10_max_tableau,250,250,6.598946596169746,6.596190619061044,-0.0027559771087020124,-0.17384526382939372,13327497.0,16067447.0
R2_C2,float32,mean_elapsed_seconds,250,250,0.3308089349898824,0.3189195119831493,-0.011889423006733124,-0.32591872459170595,13327497.0,16067447.0
R0_C0,float64,failure_rate,250,250,0.0,0.0,0.0,0.0,13327497.0,16067447.0
R0_C0,float64,mean_log10_rRu,250,250,-0.07125170247902264,-0.06725594434357683,0.003995758135445809,0.1862203381596531,13327497.0,16067447.0
R0_C0,float64,mean_log10_gamma_over_n,250,250,7.343213188451418,7.3375893090751925,-0.005623879376225105,-0.33325643100991675,13327497.0,16067447.0
R0_C0,float64,mean_log10_max_tableau,250,250,8.966650111782462,8.961680536895791,-0.0049695748866707135,-0.29462847072910403,13327497.0,16067447.0
R0_C0,float64,mean_elapsed_seconds,250,250,0.25904192922666847,0.24464832690999685,-0.014393602316671611,-0.48208324736868763,13327497.0,16067447.0
R0_C1,float64,failure_rate,250,250,0.0,3.1225604996096832e-06,3.1225604996096832e-06,0.08944271909999156,13327497.0,16067447.0
R0_C1,float64,mean_log10_rRu,250,250,-2.088277489068898,-2.078154850220023,0.010122638848875098,0.3220443968652969,13327497.0,16067447.0
R0_C1,float64,mean_log10_gamma_over_n,250,250,6.167603599078667,6.164118343856542,-0.003485255222125616,-0.241211459407689,13327497.0,16067447.0
R0_C1,float64,mean_log10_max_tableau,250,250,7.423669994533075,7.421385226624634,-0.002284767908441232,-0.15464043888741408,13327497.0,16067447.0
R0_C1,float64,mean_elapsed_seconds,250,250,0.26496056069095614,0.25095752415079325,-0.014003036540162883,-0.45692291226291015,13327497.0,16067447.0
